id,exame,ano,questao,titulo,area_primaria,area_secundaria,raciocinio_primario,raciocinio_secundario,categoria,subcategoria,dominio,fonte,tipo_exame,bloom
ena-2024-q01,ENA 2024,2024,1,Soma de irracionais,Teoria dos Numeros,,R023 (Reducao-ao-Absurdo),R009 (Critica-por-Contraexemplo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q02,ENA 2024,2024,2,Sistema de inequacoes lineares,Algebra Linear,,R008 (Deducao-Formal-Passo-a-Passo),R054 (Otimizacao-Restrita),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q03,ENA 2024,2024,3,Juros compostos e financiamento,Matematica Financeira,,R008 (Deducao-Formal-Passo-a-Passo),R050 (Marginal-Incremental),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q04,ENA 2024,2024,4,Porcentagem de porcentagem,Aritmetica,,R008 (Deducao-Formal-Passo-a-Passo),R012 (Generalizacao-Estatistica),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q05,ENA 2024,2024,5,Pizzas e Lei dos Cossenos,Geometria Plana,,R065 (Simetria-Conservacao),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q06,ENA 2024,2024,6,Circulo inscrito em setor circular,Geometria Plana,,R008 (Deducao-Formal-Passo-a-Passo),R066 (Dimensional-Analitico),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q07,ENA 2024,2024,7,Tabuleiro com padrao de cores,Sequencias,,R014 (Generalizacao-Matematica),R020 (Construcao-Escalonada),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q08,ENA 2024,2024,8,Torneio eliminatório de tenis,Combinatoria,,R014 (Generalizacao-Matematica),R081 (Complexidade-Assintotica),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q09,ENA 2024,2024,9,Anagramas de TEOREMA com vogal,Combinatoria,,R020 (Construcao-Escalonada),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q10,ENA 2024,2024,10,Estatistica descritiva de notas,Estatistica,,R012 (Generalizacao-Estatistica),R027 (Verificacao-Empirica),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q11,ENA 2024,2024,11,Volume de tetraedro em cubo,Geometria Espacial,,R008 (Deducao-Formal-Passo-a-Passo),R066 (Dimensional-Analitico),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q12,ENA 2024,2024,12,Soma de progressao geometrica,Sequencias,,R008 (Deducao-Formal-Passo-a-Passo),R014 (Generalizacao-Matematica),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q13,ENA 2024,2024,13,Soma de progressao aritmetica,Sequencias,,R008 (Deducao-Formal-Passo-a-Passo),R014 (Generalizacao-Matematica),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q14,ENA 2024,2024,14,Escada extensivel na parede,Geometria Plana,,R008 (Deducao-Formal-Passo-a-Passo),R054 (Otimizacao-Restrita),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q15,ENA 2024,2024,15,Inequacao quadratica com parametros,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R009 (Critica-por-Contraexemplo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q16,ENA 2024,2024,16,Identidade trigonometrica,Trigonometria,,R008 (Deducao-Formal-Passo-a-Passo),R065 (Simetria-Conservacao),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q17,ENA 2024,2024,17,Paridade de quadrados,Teoria dos Numeros,,R023 (Reducao-ao-Absurdo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q18,ENA 2024,2024,18,Conjunto de combinacoes lineares,Teoria dos Numeros,,R008 (Deducao-Formal-Passo-a-Passo),R101 (Topologico-Ponto-Fixo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q19,ENA 2024,2024,19,Cercamento de area retangular,Otimizacao,,R054 (Otimizacao-Restrita),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q20,ENA 2024,2024,20,Locadoras de automoveis,Algebra Linear,,R048 (Custo-Beneficio),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q21,ENA 2024,2024,21,Grandezas inversamente proporcionais,Aritmetica,,R008 (Deducao-Formal-Passo-a-Passo),R066 (Dimensional-Analitico),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q22,ENA 2024,2024,22,Distribuicao de objetos em caixas,Combinatoria,,R020 (Construcao-Escalonada),R017 (Sintese-Criativa),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q23,ENA 2024,2024,23,Propriedades de radiciacao,Algebra,,R009 (Critica-por-Contraexemplo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q24,ENA 2024,2024,24,Area do circulo por aproximacao,Geometria Plana,,R066 (Dimensional-Analitico),R048 (Custo-Beneficio),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q25,ENA 2024,2024,25,Sorteio com ausentes,Probabilidade,,R012 (Generalizacao-Estatistica),R027 (Verificacao-Empirica),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q26,ENA 2024,2024,26,Aumento percentual da area,Geometria Plana,,R066 (Dimensional-Analitico),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q27,ENA 2024,2024,27,Quadrado e area interna,Geometria Plana,,R008 (Deducao-Formal-Passo-a-Passo),R065 (Simetria-Conservacao),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q28,ENA 2024,2024,28,Funcao quadratica e simetria,Algebra,,R065 (Simetria-Conservacao),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q29,ENA 2024,2024,29,Equacao com infinitas solucoes,Algebra Linear,,R008 (Deducao-Formal-Passo-a-Passo),R101 (Topologico-Ponto-Fixo),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2024-q30,ENA 2024,2024,30,Anagramas de PORTO - permutacao caotica,Combinatoria,,R020 (Construcao-Escalonada),R017 (Sintese-Criativa),,,,ENA-2024-Solucoes.pdf,ENA,
ena-2025-q01,ENA 2025,2025,1,Desconto maximo apos aumento,Aritmetica,,R008 (Deducao-Formal-Passo-a-Passo),R048 (Custo-Beneficio),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q02,ENA 2025,2025,2,Numeros impares de 4 algarismos,Combinatoria,,R020 (Construcao-Escalonada),R017 (Sintese-Criativa),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q03,ENA 2025,2025,3,Contraexemplos para implicacoes,Logica,,R009 (Critica-por-Contraexemplo),R023 (Reducao-ao-Absurdo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q04,ENA 2025,2025,4,Graficos de funcao afim e quadratica,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R065 (Simetria-Conservacao),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q05,ENA 2025,2025,5,Area de triangulo com angulo 30,Geometria Plana,,R008 (Deducao-Formal-Passo-a-Passo),R065 (Simetria-Conservacao),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q06,ENA 2025,2025,6,Diagonal do retangulo,Geometria Plana,,R008 (Deducao-Formal-Passo-a-Passo),R065 (Simetria-Conservacao),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q07,ENA 2025,2025,7,Area de triangulo por semelhanca,Geometria Plana,,R008 (Deducao-Formal-Passo-a-Passo),R066 (Dimensional-Analitico),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q08,ENA 2025,2025,8,Soma de 10 inteiros consecutivos,Sequencias,,R014 (Generalizacao-Matematica),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q09,ENA 2025,2025,9,Conjuntos: divisibilidade por 8 e 10,Teoria dos Numeros,,R008 (Deducao-Formal-Passo-a-Passo),R101 (Topologico-Ponto-Fixo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q10,ENA 2025,2025,10,Mediana de dados agrupados,Estatistica,,R012 (Generalizacao-Estatistica),R027 (Verificacao-Empirica),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q11,ENA 2025,2025,11,Anagramas de DIVISIBILIDADE,Combinatoria,,R020 (Construcao-Escalonada),R017 (Sintese-Criativa),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q12,ENA 2025,2025,12,PG com soma dos termos,Sequencias,,R008 (Deducao-Formal-Passo-a-Passo),R014 (Generalizacao-Matematica),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q13,ENA 2025,2025,13,Equacao com raiz quadrada,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R009 (Critica-por-Contraexemplo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q14,ENA 2025,2025,14,Segmento em quadrado,Geometria Plana,,R008 (Deducao-Formal-Passo-a-Passo),R065 (Simetria-Conservacao),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q15,ENA 2025,2025,15,Triangulo retangulo em PA,Trigonometria,,R014 (Generalizacao-Matematica),R065 (Simetria-Conservacao),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q16,ENA 2025,2025,16,Menor valor de funcao quadratica,Algebra,,R054 (Otimizacao-Restrita),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q17,ENA 2025,2025,17,Irracional elevado a irracional,Teoria dos Numeros,,R023 (Reducao-ao-Absurdo),R009 (Critica-por-Contraexemplo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q18,ENA 2025,2025,18,Ponto abaixo da reta,Algebra Linear,,R008 (Deducao-Formal-Passo-a-Passo),R054 (Otimizacao-Restrita),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q19,ENA 2025,2025,19,Potencias e radiciacao,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R066 (Dimensional-Analitico),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q20,ENA 2025,2025,20,Numeros de tres algarismos invertidos,Teoria dos Numeros,,R008 (Deducao-Formal-Passo-a-Passo),R020 (Construcao-Escalonada),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q21,ENA 2025,2025,21,Razao em trapezio,Geometria Plana,,R008 (Deducao-Formal-Passo-a-Passo),R065 (Simetria-Conservacao),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q22,ENA 2025,2025,22,Equivalencia de desigualdades,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R009 (Critica-por-Contraexemplo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q23,ENA 2025,2025,23,Porcentagem de criancas,Aritmetica,,R008 (Deducao-Formal-Passo-a-Passo),R048 (Custo-Beneficio),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q24,ENA 2025,2025,24,Rapazes e mocas,Algebra Linear,,R101 (Topologico-Ponto-Fixo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q25,ENA 2025,2025,25,Soma de dados igual a 7,Probabilidade,,R012 (Generalizacao-Estatistica),R027 (Verificacao-Empirica),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q26,ENA 2025,2025,26,Razao apos transferencia,Aritmetica,,R008 (Deducao-Formal-Passo-a-Passo),R048 (Custo-Beneficio),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q27,ENA 2025,2025,27,Paridade de expressoes,Teoria dos Numeros,,R023 (Reducao-ao-Absurdo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q28,ENA 2025,2025,28,Volume de tetraedro em paralelepipedo,Geometria Espacial,,R008 (Deducao-Formal-Passo-a-Passo),R066 (Dimensional-Analitico),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q29,ENA 2025,2025,29,Efeito da duplicacao em area/volume,Geometria,,R066 (Dimensional-Analitico),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2025-q30,ENA 2025,2025,30,Subconjuntos de conjunto finito,Combinatoria,,R014 (Generalizacao-Matematica),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2025-Solucoes.pdf,ENA,
ena-2026-q01,ENA 2026,2026,1,Caminhada percentual,Aritmetica,,R008 (Deducao-Formal-Passo-a-Passo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q02,ENA 2026,2026,2,Parabola com ponto fixo,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q03,ENA 2026,2026,3,Retangulo area e diagonal,Geometria Plana,,R008 (Deducao-Formal-Passo-a-Passo),R065 (Simetria-Conservacao),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q04,ENA 2026,2026,4,Identidade trigonometrica,Trigonometria,,R008 (Deducao-Formal-Passo-a-Passo),R066 (Dimensional-Analitico),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q05,ENA 2026,2026,5,Inequacao quadratica,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q06,ENA 2026,2026,6,Probabilidade sem reposicao,Probabilidade,,R114 (Probabilidade-Contagem),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q07,ENA 2026,2026,7,Inequacao racional,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q08,ENA 2026,2026,8,MMC e promocoes simultaneas,Aritmetica,,R008 (Deducao-Formal-Passo-a-Passo),R014 (Generalizacao-Matematica),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q09,ENA 2026,2026,9,Equacao modular cubica,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R023 (Reducao-ao-Absurdo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q10,ENA 2026,2026,10,Paralelepipedo inclinado,Geometria Espacial,,R065 (Simetria-Conservacao),R066 (Dimensional-Analitico),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q11,ENA 2026,2026,11,Afirmacoes sobre reais,Algebra,,R009 (Critica-por-Contraexemplo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q12,ENA 2026,2026,12,Senha sem digitos iguais consecutivos,Combinatoria,,R020 (Construcao-Escalonada),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q13,ENA 2026,2026,13,Area do quadrado menor,Geometria Plana,,R065 (Simetria-Conservacao),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q14,ENA 2026,2026,14,Intersecao unica parabola-reta,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R054 (Otimizacao-Restrita),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q15,ENA 2026,2026,15,Equacao fracionaria,Algebra,,R008 (Deducao-Formal-Passo-a-Passo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q16,ENA 2026,2026,16,Decimo termo da sequencia,Sequencias,,R008 (Deducao-Formal-Passo-a-Passo),R014 (Generalizacao-Matematica),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q17,ENA 2026,2026,17,Resto de divisao,Teoria dos Numeros,,R008 (Deducao-Formal-Passo-a-Passo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q18,ENA 2026,2026,18,Area maxima triangulo retangulo inscrito,Geometria Plana,,R054 (Otimizacao-Restrita),R065 (Simetria-Conservacao),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q19,ENA 2026,2026,19,Cardinalidade de uniao,Teoria dos Conjuntos,,R014 (Generalizacao-Matematica),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q20,ENA 2026,2026,20,Circulo tangente a quadrados,Geometria Plana,,R065 (Simetria-Conservacao),R066 (Dimensional-Analitico),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q21,ENA 2026,2026,21,Ordem crescente com 0<a<b<1,Algebra,,R009 (Critica-por-Contraexemplo),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q22,ENA 2026,2026,22,Senha escape room,Logica,,R020 (Construcao-Escalonada),R006 (Dialetica-Socratica),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q23,ENA 2026,2026,23,Soma de PG,Sequencias,,R014 (Generalizacao-Matematica),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q24,ENA 2026,2026,24,Estatistica descritiva,Estatistica,,R012 (Generalizacao-Estatistica),R008 (Deducao-Formal-Passo-a-Passo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q25,ENA 2026,2026,25,Logica V/F cinco questoes,Logica,,R020 (Construcao-Escalonada),R023 (Reducao-ao-Absurdo),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q26,ENA 2026,2026,26,Probabilidade faces do cubo,Probabilidade,,R114 (Probabilidade-Contagem),R020 (Construcao-Escalonada),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
ena-2026-q27,ENA 2026,2026,27,Razao entre triangulos,Geometria Plana,,R065 (Simetria-Conservacao),R066 (Dimensional-Analitico),,,,ENA-2026-Gabarito-com-Solucoes.pdf,ENA,
